B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,bsi,elev,mndwi,ndbi,ndvi,slope
684.5,3748,2892.5,893.5,1253,1545,2034,2646.5,2949,2976,3218,3165.5,0.155361528,684,-0.49890022,0.114812612,0.316522893,2.083529414
490,2233,1357,481,698,729,1076,1827,2112,2212,2370,2484,0.047568523,659,-0.523712044,0.004724409,0.504250255,0.950498934
483,3500,2675,767.5,1113,1589,1818,2209.5,2465,2609.5,2694,2384,0.202220647,641,-0.517450683,0.145756609,0.243062999,4.220630355
380,3851,2989,558,917,1606,2019,2285,2459,2466,2623,2631,0.286876548,738,-0.615352349,0.219249644,0.211198428,2.996281261
487.5,2661.5,1872,593.5,826.5,958.5,1392,2139.5,2403.5,2472,2683.5,2508,0.082940693,734,-0.52608945,0.036914386,0.441189331,4.161203453
769,3986,3342,868,1270,1858,2377,2792,2986,3028,3200,3321,0.2,934,-0.51674277,0.136583975,0.239459681,2.938328743
496,3226,2279.5,691,983,1299,1674.5,2172,2439,2492,2699,2622.5,0.174104826,529,-0.532905678,0.128366562,0.314692693,7.60568285
805,3910,3155,963.5,1425,2022,2281.5,2697,2889,3040,3076.5,3130.5,0.194101958,910,-0.46579194,0.125179856,0.201106282,1.329635262
467,3135,2095,617,849,1116,1456,1911,2147,2333,2484,2486,0.180669351,621,-0.573795181,0.146671544,0.3528559,11.28172247
425,2911.5,2188.5,557,798.5,1033,1401,1705,1885.5,1976,2161.5,2177.5,0.217908144,823,-0.569541779,0.19140665,0.313393154,16.22431183
750,5076,4340,1162,1720,2401,2864,3064,3293,3350,3574,3292,0.247310034,925,-0.493819894,0.204842155,0.16501478,3.003463676
607,3275,2738,809,1046,1342,1778,1986,2163,2134,2406,2341,0.221428571,826,-0.515852812,0.210944722,0.227848101,5.765377681
453,2802,2081,832,1082,1280,1456,1765,1954,2042,2217,2272,0.173663025,739,-0.44284243,0.156895128,0.229379892,8.280300879
519,2723,1723,561,849,1030,1350,1856,2089,2232,2457,2517,0.146654445,883,-0.524636058,0.099091826,0.368485592,2.11821723
430,2971,2183,581,800,1034,1303,1621,1829,1982,2122,2166,0.21954933,749,-0.575709361,0.199676963,0.314323607,4.627367496
587,3069,2543,769,1004,1212,1561,1901,2054,2124,2286,2207,0.193476443,862,-0.506997299,0.181975737,0.273381295,3.977754763
461,2234,1391,384,753,754,1345,2289,2561,2712,2812,2783,-0.017751479,869,-0.495815199,-0.096643753,0.56491633,1.903854496
386.5,2133.5,1410.5,390,670.5,588.5,1158,2368.5,2803.5,3091,2970.5,2985,-0.122360148,670,-0.521754636,-0.183271126,0.680119581,0.927409937
553.5,2954,2195,758.5,1047,1430,1641,2116.5,2360.5,2386.5,2565.5,2759,0.164563687,914,-0.476630842,0.106263458,0.250622298,1.854334169
576.5,3711.5,2965.5,791,1187,1747,2002.5,2287,2459.5,2697.5,2684,2708.5,0.220185537,866,-0.515361845,0.15821501,0.213859827,1.903302312
503,3104,2150,591,850,1042,1477,1760,1989,2156,2365,2391,0.202959524,828,-0.57005564,0.180228137,0.348342714,10.99298477
988,4199,3557,1015,1540,2260,2439,2814,3059,3276,3321,3179,0.201674419,925,-0.463321136,0.123478261,0.183526012,2.657427179
618,2825,1785,782,1162,1118,1661,3205,3596,3664,3815,3477,-0.059959471,644,-0.417105593,-0.129295731,0.532413216,1.327622544
562,3831.5,2986,1027,1618,2413,2227,3042,3346,3568.5,3488.5,2831,0.152121771,801,-0.406184054,0.035540541,0.193178968,8.536030769
612,3734,2885,708,1018,1266,1863,2388,2638,2442,2872,2806,0.226993865,821,-0.571548822,0.209196891,0.317152104,21.73389703
568,2564,1952,777,1072,1308,1499,2119,2381,2385,2588,2520,0.1009383,694,-0.410341034,0.036168923,0.291632819,5.975503875
521,3524,2785,680,980,1358,1829,2132,2283,2238,2553,2634,0.251794872,888,-0.564831261,0.223186394,0.244716352,2.938594451
489,2770,1978.5,591.5,895,1386,1435,2131,2407,2628,2652.5,2972.5,0.126974442,712,-0.51159618,0.026306039,0.30941704,3.365972281
476,2109,1198,430,727,652,1124,2588,3080,3110,3311,2969,-0.12363117,685,-0.487306065,-0.191799195,0.653375864,3.82407276
472.5,3008.5,1974.5,484.5,744,824,1385.5,2721,3134.5,3052.5,3464.5,3263,0.0400977,604,-0.603464357,-0.007259528,0.574874242,1.327081084
623,3684,2953,640,1040,1742,2068,2332,2490,2410,2620,2575,0.280320906,914,-0.559695174,0.20905809,0.16088632,0.953073779
1125,2532,2275,1158,1432,1606,1822,2088,2205,1908,2282,2278,0.148806219,889,-0.277497477,0.140540541,0.085941946,2.083986759
